date,facility_id,conveyor_down_m,mhe_down_m,wms_incidents,scanner_faults
2026-01-19,atl-01,7,25,0,0
2026-01-20,atl-01,0,21,0,2
2026-01-21,atl-01,0,19,0,2
2026-01-22,atl-01,5,19,1,1
2026-01-23,atl-01,11,26,0,0
2026-01-24,atl-01,3,23,0,2
2026-01-26,atl-01,8,19,0,0
2026-01-27,atl-01,0,10,0,0
2026-01-28,atl-01,8,19,0,1
2026-01-29,atl-01,4,16,0,1
2026-01-30,atl-01,0,28,0,0
2026-01-31,atl-01,4,29,1,1
2026-02-02,atl-01,2,25,0,1
2026-02-03,atl-01,5,13,0,0
2026-02-04,atl-01,2,8,0,0
2026-02-05,atl-01,0,15,0,2
2026-02-06,atl-01,8,11,0,0
2026-02-07,atl-01,15,16,0,2
2026-02-09,atl-01,5,11,0,2
2026-02-10,atl-01,6,22,1,0
2026-02-11,atl-01,5,14,0,1
2026-02-12,atl-01,9,15,0,1
2026-02-13,atl-01,6,14,0,2
2026-02-14,atl-01,4,15,1,2
2026-02-16,atl-01,2,11,0,1
2026-02-17,atl-01,8,15,1,0
2026-02-18,atl-01,7,9,0,0
2026-02-19,atl-01,3,25,0,1
2026-02-20,atl-01,0,8,0,1
2026-02-21,atl-01,3,16,0,1
2026-02-23,atl-01,0,18,0,0
2026-02-24,atl-01,0,11,0,0
2026-02-25,atl-01,5,29,0,3
2026-02-26,atl-01,7,11,1,3
2026-02-27,atl-01,0,18,1,3
2026-02-28,atl-01,5,6,0,0
2026-03-02,atl-01,7,14,1,2
2026-03-03,atl-01,9,12,0,2
2026-03-04,atl-01,6,21,0,1
2026-03-05,atl-01,0,20,1,0
2026-03-06,atl-01,2,17,0,2
2026-03-07,atl-01,6,24,0,0
2026-03-09,atl-01,3,27,0,1
2026-03-10,atl-01,6,12,0,2
2026-03-11,atl-01,0,26,1,0
2026-03-12,atl-01,0,22,0,2
2026-03-13,atl-01,0,10,0,2
2026-03-14,atl-01,2,15,0,1
2026-03-16,atl-01,6,10,0,1
2026-03-17,atl-01,10,17,0,2
2026-03-18,atl-01,4,9,0,2
2026-03-19,atl-01,3,10,0,1
2026-03-20,atl-01,9,8,1,2
2026-03-21,atl-01,7,20,0,1
2026-03-23,atl-01,6,15,1,0
2026-03-24,atl-01,0,3,1,0
2026-03-25,atl-01,3,5,0,1
2026-03-26,atl-01,4,20,0,0
2026-03-27,atl-01,5,20,0,1
2026-03-28,atl-01,0,24,0,1
2026-03-30,atl-01,11,34,0,2
2026-03-31,atl-01,4,7,0,3
2026-04-01,atl-01,4,20,0,0
2026-04-02,atl-01,2,21,0,0
2026-04-03,atl-01,5,12,0,1
2026-04-04,atl-01,0,15,0,1
2026-04-06,atl-01,0,12,0,1
2026-04-07,atl-01,6,14,0,0
2026-04-08,atl-01,9,20,0,1
2026-04-09,atl-01,0,29,0,1
2026-04-10,atl-01,0,14,0,2
2026-04-11,atl-01,1,1,1,2
2026-04-13,atl-01,3,25,0,0
2026-04-14,atl-01,8,17,0,3
2026-04-15,atl-01,11,18,0,0
2026-04-16,atl-01,7,23,0,2
2026-04-17,atl-01,3,22,1,1
2026-04-18,atl-01,3,15,0,0
2026-04-20,atl-01,9,17,0,0
2026-04-21,atl-01,3,4,0,2
2026-04-22,atl-01,4,17,0,2
2026-04-23,atl-01,7,19,0,0
2026-04-24,atl-01,5,16,0,0
2026-04-25,atl-01,7,12,0,0
2026-04-27,atl-01,4,16,0,1
2026-04-28,atl-01,6,7,0,1
2026-04-29,atl-01,14,18,1,0
2026-04-30,atl-01,7,12,0,0
2026-05-01,atl-01,7,17,0,0
2026-05-02,atl-01,6,32,1,1
2026-05-04,atl-01,6,24,0,0
2026-05-05,atl-01,9,13,0,0
2026-05-06,atl-01,4,2,0,3
2026-05-07,atl-01,0,21,0,0
2026-05-08,atl-01,0,18,0,1
2026-05-09,atl-01,4,13,0,2
2026-05-11,atl-01,14,8,0,0
2026-05-12,atl-01,4,18,1,1
2026-05-13,atl-01,0,8,0,2
2026-05-14,atl-01,3,18,1,2
2026-05-15,atl-01,0,11,0,1
2026-05-16,atl-01,0,22,0,1
2026-05-18,atl-01,9,27,0,1
