date,facility_id,conveyor_down_m,mhe_down_m,wms_incidents,scanner_faults
2026-01-19,dal-02,12,17,0,0
2026-01-20,dal-02,11,25,1,2
2026-01-21,dal-02,7,23,0,1
2026-01-22,dal-02,4,24,1,2
2026-01-23,dal-02,1,15,0,1
2026-01-24,dal-02,9,6,0,0
2026-01-26,dal-02,16,19,0,1
2026-01-27,dal-02,11,33,0,0
2026-01-28,dal-02,7,27,0,0
2026-01-29,dal-02,2,27,1,4
2026-01-30,dal-02,3,20,0,0
2026-01-31,dal-02,5,30,0,1
2026-02-02,dal-02,9,24,0,2
2026-02-03,dal-02,2,18,1,2
2026-02-04,dal-02,8,21,0,2
2026-02-05,dal-02,10,31,1,0
2026-02-06,dal-02,3,29,0,0
2026-02-07,dal-02,8,29,1,1
2026-02-09,dal-02,0,11,0,2
2026-02-10,dal-02,8,21,0,1
2026-02-11,dal-02,4,24,0,1
2026-02-12,dal-02,0,13,0,1
2026-02-13,dal-02,9,13,0,0
2026-02-14,dal-02,13,21,0,2
2026-02-16,dal-02,0,20,0,0
2026-02-17,dal-02,8,25,0,2
2026-02-18,dal-02,0,36,0,2
2026-02-19,dal-02,4,20,0,1
2026-02-20,dal-02,12,18,0,1
2026-02-21,dal-02,7,19,1,2
2026-02-23,dal-02,12,18,0,2
2026-02-24,dal-02,4,26,1,2
2026-02-25,dal-02,10,25,0,0
2026-02-26,dal-02,13,25,0,2
2026-02-27,dal-02,12,23,0,0
2026-02-28,dal-02,9,23,1,1
2026-03-02,dal-02,17,7,0,3
2026-03-03,dal-02,7,23,0,1
2026-03-04,dal-02,10,29,1,1
2026-03-05,dal-02,14,25,0,0
2026-03-06,dal-02,9,39,0,2
2026-03-07,dal-02,9,8,0,0
2026-03-09,dal-02,3,19,0,1
2026-03-10,dal-02,3,26,0,0
2026-03-11,dal-02,7,17,1,1
2026-03-12,dal-02,0,25,0,3
2026-03-13,dal-02,8,32,0,0
2026-03-14,dal-02,3,14,1,0
2026-03-16,dal-02,4,19,0,1
2026-03-17,dal-02,10,21,1,2
2026-03-18,dal-02,14,31,0,2
2026-03-19,dal-02,17,20,0,1
2026-03-20,dal-02,8,16,0,2
2026-03-21,dal-02,13,14,0,0
2026-03-23,dal-02,15,38,0,2
2026-03-24,dal-02,8,19,0,2
2026-03-25,dal-02,10,26,0,2
2026-03-26,dal-02,15,22,0,1
2026-03-27,dal-02,13,20,0,0
2026-03-28,dal-02,14,23,0,2
2026-03-30,dal-02,7,27,0,1
2026-03-31,dal-02,8,22,0,2
2026-04-01,dal-02,5,22,0,1
2026-04-02,dal-02,15,27,0,1
2026-04-03,dal-02,17,23,0,1
2026-04-04,dal-02,18,30,0,0
2026-04-06,dal-02,4,18,0,0
2026-04-07,dal-02,10,27,0,1
2026-04-08,dal-02,9,29,0,2
2026-04-09,dal-02,1,25,0,1
2026-04-10,dal-02,8,37,0,0
2026-04-11,dal-02,13,31,0,2
2026-04-13,dal-02,8,18,0,1
2026-04-14,dal-02,8,22,0,1
2026-04-15,dal-02,15,24,0,1
2026-04-16,dal-02,10,22,0,0
2026-04-17,dal-02,5,12,0,1
2026-04-18,dal-02,9,38,0,2
2026-04-20,dal-02,7,14,0,0
2026-04-21,dal-02,0,25,0,0
2026-04-22,dal-02,15,21,1,0
2026-04-23,dal-02,4,27,0,0
2026-04-24,dal-02,11,14,1,2
2026-04-25,dal-02,6,20,0,1
2026-04-27,dal-02,6,16,0,2
2026-04-28,dal-02,10,8,1,3
2026-04-29,dal-02,3,22,0,1
2026-04-30,dal-02,3,23,0,0
2026-05-01,dal-02,3,25,1,2
2026-05-02,dal-02,15,32,1,1
2026-05-04,dal-02,16,21,0,2
2026-05-05,dal-02,5,13,0,1
2026-05-06,dal-02,18,38,0,0
2026-05-07,dal-02,0,4,0,2
2026-05-08,dal-02,10,32,0,0
2026-05-09,dal-02,13,26,0,3
2026-05-11,dal-02,3,32,0,1
2026-05-12,dal-02,11,14,0,1
2026-05-13,dal-02,9,28,0,1
2026-05-14,dal-02,10,19,0,1
2026-05-15,dal-02,0,12,0,1
2026-05-16,dal-02,3,17,1,0
2026-05-18,dal-02,4,15,0,3
