date,facility_id,conveyor_down_m,mhe_down_m,wms_incidents,scanner_faults
2026-01-19,hou-01,8,33,0,2
2026-01-20,hou-01,11,26,0,1
2026-01-21,hou-01,8,25,0,1
2026-01-22,hou-01,15,20,1,1
2026-01-23,hou-01,0,22,0,0
2026-01-24,hou-01,11,36,0,1
2026-01-26,hou-01,3,25,0,1
2026-01-27,hou-01,6,3,0,0
2026-01-28,hou-01,6,1,0,2
2026-01-29,hou-01,5,23,0,1
2026-01-30,hou-01,8,30,0,2
2026-01-31,hou-01,13,10,0,1
2026-02-02,hou-01,5,27,0,0
2026-02-03,hou-01,2,26,0,2
2026-02-04,hou-01,3,23,0,0
2026-02-05,hou-01,0,35,0,2
2026-02-06,hou-01,8,23,1,1
2026-02-07,hou-01,12,35,0,2
2026-02-09,hou-01,3,18,0,1
2026-02-10,hou-01,13,19,0,1
2026-02-11,hou-01,5,19,0,3
2026-02-12,hou-01,8,13,0,0
2026-02-13,hou-01,15,19,0,3
2026-02-14,hou-01,5,24,0,2
2026-02-16,hou-01,0,32,0,1
2026-02-17,hou-01,4,20,0,0
2026-02-18,hou-01,6,16,0,1
2026-02-19,hou-01,5,14,0,2
2026-02-20,hou-01,3,14,0,2
2026-02-21,hou-01,9,17,0,0
2026-02-23,hou-01,0,20,0,3
2026-02-24,hou-01,7,30,0,1
2026-02-25,hou-01,4,23,0,3
2026-02-26,hou-01,4,22,1,1
2026-02-27,hou-01,13,10,0,3
2026-02-28,hou-01,3,22,0,0
2026-03-02,hou-01,13,35,0,1
2026-03-03,hou-01,10,44,0,0
2026-03-04,hou-01,7,26,0,2
2026-03-05,hou-01,0,11,0,0
2026-03-06,hou-01,11,6,0,0
2026-03-07,hou-01,8,10,0,0
2026-03-09,hou-01,8,18,0,1
2026-03-10,hou-01,4,20,0,1
2026-03-11,hou-01,7,9,0,0
2026-03-12,hou-01,11,20,0,0
2026-03-13,hou-01,7,10,0,2
2026-03-14,hou-01,10,21,0,1
2026-03-16,hou-01,6,25,0,4
2026-03-17,hou-01,0,12,0,2
2026-03-18,hou-01,0,19,0,1
2026-03-19,hou-01,8,14,0,0
2026-03-20,hou-01,7,15,0,1
2026-03-21,hou-01,3,24,0,1
2026-03-23,hou-01,1,33,0,0
2026-03-24,hou-01,3,12,1,1
2026-03-25,hou-01,0,19,1,3
2026-03-26,hou-01,5,16,0,0
2026-03-27,hou-01,2,33,0,1
2026-03-28,hou-01,9,6,0,1
2026-03-30,hou-01,13,34,0,0
2026-03-31,hou-01,1,18,0,0
2026-04-01,hou-01,4,4,1,1
2026-04-02,hou-01,15,9,0,1
2026-04-03,hou-01,6,24,0,0
2026-04-04,hou-01,5,26,0,1
2026-04-06,hou-01,5,23,0,1
2026-04-07,hou-01,2,26,0,0
2026-04-08,hou-01,11,18,1,0
2026-04-09,hou-01,5,12,0,3
2026-04-10,hou-01,5,18,0,0
2026-04-11,hou-01,13,6,1,1
2026-04-13,hou-01,0,19,0,2
2026-04-14,hou-01,8,31,1,0
2026-04-15,hou-01,1,25,0,2
2026-04-16,hou-01,9,21,0,1
2026-04-17,hou-01,0,16,0,2
2026-04-18,hou-01,11,16,0,0
2026-04-20,hou-01,5,14,1,2
2026-04-21,hou-01,6,26,0,0
2026-04-22,hou-01,14,17,1,2
2026-04-23,hou-01,0,12,0,1
2026-04-24,hou-01,0,17,0,0
2026-04-25,hou-01,8,4,0,1
2026-04-27,hou-01,0,17,0,0
2026-04-28,hou-01,13,13,0,1
2026-04-29,hou-01,2,20,0,0
2026-04-30,hou-01,11,21,0,1
2026-05-01,hou-01,6,6,0,1
2026-05-02,hou-01,7,22,0,1
2026-05-04,hou-01,14,19,0,2
2026-05-05,hou-01,3,12,0,0
2026-05-06,hou-01,3,20,1,2
2026-05-07,hou-01,9,21,1,3
2026-05-08,hou-01,2,36,0,2
2026-05-09,hou-01,15,12,0,2
2026-05-11,hou-01,2,18,1,0
2026-05-12,hou-01,4,29,0,1
2026-05-13,hou-01,8,17,0,1
2026-05-14,hou-01,0,11,1,1
2026-05-15,hou-01,5,10,0,2
2026-05-16,hou-01,0,21,0,0
2026-05-18,hou-01,0,21,1,0
