date,facility_id,conveyor_down_m,mhe_down_m,wms_incidents,scanner_faults
2026-01-19,ral-02,13,37,0,0
2026-01-20,ral-02,3,29,0,2
2026-01-21,ral-02,12,39,0,2
2026-01-22,ral-02,14,39,0,0
2026-01-23,ral-02,10,41,0,0
2026-01-24,ral-02,16,44,1,0
2026-01-26,ral-02,17,22,0,0
2026-01-27,ral-02,11,20,0,2
2026-01-28,ral-02,18,37,0,1
2026-01-29,ral-02,11,32,0,0
2026-01-30,ral-02,10,35,0,1
2026-01-31,ral-02,12,26,0,1
2026-02-02,ral-02,15,38,0,1
2026-02-03,ral-02,18,42,0,1
2026-02-04,ral-02,18,25,1,0
2026-02-05,ral-02,11,32,1,1
2026-02-06,ral-02,14,27,1,0
2026-02-07,ral-02,10,31,0,0
2026-02-09,ral-02,18,10,0,1
2026-02-10,ral-02,24,43,0,1
2026-02-11,ral-02,4,30,0,0
2026-02-12,ral-02,19,35,0,1
2026-02-13,ral-02,21,46,0,1
2026-02-14,ral-02,3,29,0,0
2026-02-16,ral-02,7,25,0,1
2026-02-17,ral-02,6,38,0,1
2026-02-18,ral-02,10,27,0,2
2026-02-19,ral-02,11,22,0,3
2026-02-20,ral-02,8,39,1,2
2026-02-21,ral-02,17,36,0,0
2026-02-23,ral-02,15,29,0,2
2026-02-24,ral-02,14,28,0,1
2026-02-25,ral-02,18,34,0,1
2026-02-26,ral-02,14,29,0,0
2026-02-27,ral-02,17,20,0,0
2026-02-28,ral-02,0,27,0,3
2026-03-02,ral-02,16,39,1,3
2026-03-03,ral-02,12,26,0,0
2026-03-04,ral-02,10,21,0,1
2026-03-05,ral-02,14,23,0,0
2026-03-06,ral-02,16,40,0,2
2026-03-07,ral-02,14,30,0,0
2026-03-09,ral-02,12,49,0,0
2026-03-10,ral-02,5,39,0,2
2026-03-11,ral-02,15,31,1,1
2026-03-12,ral-02,13,39,0,2
2026-03-13,ral-02,8,38,0,1
2026-03-14,ral-02,21,31,0,0
2026-03-16,ral-02,0,40,1,2
2026-03-17,ral-02,9,39,0,1
2026-03-18,ral-02,13,31,0,2
2026-03-19,ral-02,13,33,0,1
2026-03-20,ral-02,21,49,0,0
2026-03-21,ral-02,13,25,0,0
2026-03-23,ral-02,15,30,0,0
2026-03-24,ral-02,23,35,0,1
2026-03-25,ral-02,10,36,0,2
2026-03-26,ral-02,6,27,0,0
2026-03-27,ral-02,11,23,0,0
2026-03-28,ral-02,14,44,0,1
2026-03-30,ral-02,18,24,0,2
2026-03-31,ral-02,12,29,0,1
2026-04-01,ral-02,7,36,0,1
2026-04-02,ral-02,11,40,0,1
2026-04-03,ral-02,6,32,1,1
2026-04-04,ral-02,6,35,0,2
2026-04-06,ral-02,12,36,0,3
2026-04-07,ral-02,14,34,0,1
2026-04-08,ral-02,15,28,1,0
2026-04-09,ral-02,11,57,0,1
2026-04-10,ral-02,12,33,0,1
2026-04-11,ral-02,10,39,0,1
2026-04-13,ral-02,14,32,0,1
2026-04-14,ral-02,11,25,0,1
2026-04-15,ral-02,8,30,0,0
2026-04-16,ral-02,22,23,0,2
2026-04-17,ral-02,13,32,0,1
2026-04-18,ral-02,5,32,0,0
2026-04-20,ral-02,171,83,0,1
2026-04-21,ral-02,177,94,2,3
2026-04-22,ral-02,176,73,2,2
2026-04-23,ral-02,170,83,2,1
2026-04-24,ral-02,178,66,2,1
2026-04-25,ral-02,170,80,3,2
2026-04-27,ral-02,172,82,0,0
2026-04-28,ral-02,1,38,0,1
2026-04-29,ral-02,16,30,0,0
2026-04-30,ral-02,5,33,0,2
2026-05-01,ral-02,12,13,0,3
2026-05-02,ral-02,8,42,0,0
2026-05-04,ral-02,18,39,0,1
2026-05-05,ral-02,19,51,0,2
2026-05-06,ral-02,13,38,0,1
2026-05-07,ral-02,11,36,0,2
2026-05-08,ral-02,14,35,1,3
2026-05-09,ral-02,13,25,0,0
2026-05-11,ral-02,12,22,0,1
2026-05-12,ral-02,14,44,0,1
2026-05-13,ral-02,4,28,0,0
2026-05-14,ral-02,8,35,0,1
2026-05-15,ral-02,12,37,0,2
2026-05-16,ral-02,6,36,1,2
2026-05-18,ral-02,12,19,0,2
