date,facility_id,conveyor_down_m,mhe_down_m,wms_incidents,scanner_faults
2026-01-19,sav-01,2,16,0,2
2026-01-20,sav-01,0,14,1,1
2026-01-21,sav-01,3,3,0,2
2026-01-22,sav-01,0,6,0,0
2026-01-23,sav-01,8,9,0,1
2026-01-24,sav-01,0,10,0,2
2026-01-26,sav-01,7,9,0,3
2026-01-27,sav-01,9,17,0,2
2026-01-28,sav-01,5,11,0,0
2026-01-29,sav-01,0,8,0,2
2026-01-30,sav-01,0,6,0,0
2026-01-31,sav-01,0,14,0,1
2026-02-02,sav-01,8,0,1,0
2026-02-03,sav-01,9,8,0,1
2026-02-04,sav-01,8,12,0,2
2026-02-05,sav-01,2,20,0,1
2026-02-06,sav-01,4,7,0,0
2026-02-07,sav-01,6,21,0,1
2026-02-09,sav-01,0,18,0,1
2026-02-10,sav-01,6,21,0,1
2026-02-11,sav-01,1,25,0,0
2026-02-12,sav-01,4,22,0,0
2026-02-13,sav-01,0,8,0,2
2026-02-14,sav-01,3,12,0,0
2026-02-16,sav-01,7,5,1,1
2026-02-17,sav-01,5,5,0,1
2026-02-18,sav-01,4,13,0,0
2026-02-19,sav-01,0,15,1,2
2026-02-20,sav-01,8,17,1,1
2026-02-21,sav-01,5,2,0,1
2026-02-23,sav-01,12,10,0,0
2026-02-24,sav-01,0,14,1,3
2026-02-25,sav-01,6,4,0,2
2026-02-26,sav-01,5,1,0,2
2026-02-27,sav-01,1,3,0,0
2026-02-28,sav-01,3,13,0,0
2026-03-02,sav-01,1,0,1,2
2026-03-03,sav-01,2,4,0,1
2026-03-04,sav-01,4,13,0,2
2026-03-05,sav-01,0,9,0,0
2026-03-06,sav-01,0,0,1,5
2026-03-07,sav-01,5,7,0,2
2026-03-09,sav-01,5,124,1,1
2026-03-10,sav-01,7,136,2,2
2026-03-11,sav-01,8,143,1,1
2026-03-12,sav-01,0,128,2,1
2026-03-13,sav-01,5,125,1,0
2026-03-14,sav-01,4,135,1,2
2026-03-16,sav-01,2,126,1,2
2026-03-17,sav-01,7,0,1,0
2026-03-18,sav-01,5,13,0,1
2026-03-19,sav-01,0,13,1,3
2026-03-20,sav-01,2,0,0,1
2026-03-21,sav-01,7,1,0,3
2026-03-23,sav-01,6,0,0,1
2026-03-24,sav-01,0,7,0,1
2026-03-25,sav-01,7,2,0,0
2026-03-26,sav-01,0,17,0,1
2026-03-27,sav-01,3,14,1,1
2026-03-28,sav-01,0,7,0,2
2026-03-30,sav-01,5,13,0,1
2026-03-31,sav-01,0,2,0,2
2026-04-01,sav-01,2,0,0,0
2026-04-02,sav-01,0,10,0,1
2026-04-03,sav-01,0,8,0,0
2026-04-04,sav-01,11,7,0,5
2026-04-06,sav-01,2,4,0,0
2026-04-07,sav-01,4,11,0,1
2026-04-08,sav-01,1,11,0,3
2026-04-09,sav-01,10,1,0,2
2026-04-10,sav-01,3,7,0,4
2026-04-11,sav-01,3,12,0,1
2026-04-13,sav-01,0,22,1,2
2026-04-14,sav-01,6,23,0,1
2026-04-15,sav-01,0,4,1,0
2026-04-16,sav-01,10,13,0,0
2026-04-17,sav-01,2,9,0,2
2026-04-18,sav-01,13,5,1,3
2026-04-20,sav-01,3,12,0,1
2026-04-21,sav-01,10,10,0,0
2026-04-22,sav-01,0,13,0,1
2026-04-23,sav-01,4,6,0,1
2026-04-24,sav-01,3,14,0,1
2026-04-25,sav-01,1,28,0,1
2026-04-27,sav-01,4,19,0,0
2026-04-28,sav-01,3,16,0,0
2026-04-29,sav-01,7,10,1,2
2026-04-30,sav-01,4,9,0,1
2026-05-01,sav-01,1,4,0,0
2026-05-02,sav-01,0,15,0,2
2026-05-04,sav-01,11,0,0,0
2026-05-05,sav-01,0,9,0,1
2026-05-06,sav-01,0,10,0,1
2026-05-07,sav-01,0,15,0,2
2026-05-08,sav-01,11,12,0,2
2026-05-09,sav-01,4,21,0,0
2026-05-11,sav-01,0,10,0,2
2026-05-12,sav-01,0,13,0,1
2026-05-13,sav-01,0,0,0,1
2026-05-14,sav-01,0,18,0,0
2026-05-15,sav-01,0,0,0,0
2026-05-16,sav-01,0,20,0,0
2026-05-18,sav-01,7,2,0,2
