date,facility_id,headcount_total,headcount_new,headcount_shift1,headcount_shift2,headcount_shift3,inbound_units,order_mix_complex
2026-01-19,dal-02,419,25,188,146,85,23970,0.367
2026-01-20,dal-02,423,24,190,148,85,25347,0.266
2026-01-21,dal-02,433,20,194,151,88,27486,0.275
2026-01-22,dal-02,431,31,193,150,88,27272,0.269
2026-01-23,dal-02,420,26,189,147,84,28777,0.347
2026-01-24,dal-02,423,18,190,148,85,27601,0.292
2026-01-26,dal-02,402,25,180,140,82,25338,0.246
2026-01-27,dal-02,417,23,187,145,85,28587,0.306
2026-01-28,dal-02,434,21,195,151,88,22755,0.346
2026-01-29,dal-02,403,28,181,141,81,27836,0.297
2026-01-30,dal-02,416,20,187,145,84,24175,0.333
2026-01-31,dal-02,414,22,186,144,84,28682,0.345
2026-02-02,dal-02,424,22,190,148,86,25843,0.28
2026-02-03,dal-02,430,12,193,150,87,27652,0.269
2026-02-04,dal-02,425,20,191,148,86,26664,0.314
2026-02-05,dal-02,415,22,186,145,84,26596,0.307
2026-02-06,dal-02,417,22,187,145,85,29226,0.318
2026-02-07,dal-02,406,26,182,142,82,29140,0.241
2026-02-09,dal-02,414,28,186,144,84,20877,0.285
2026-02-10,dal-02,418,14,188,146,84,27038,0.255
2026-02-11,dal-02,419,26,188,146,85,27984,0.314
2026-02-12,dal-02,409,26,184,143,82,31219,0.325
2026-02-13,dal-02,426,22,191,149,86,28920,0.345
2026-02-14,dal-02,448,20,201,156,91,24778,0.329
2026-02-16,dal-02,421,28,189,147,85,22826,0.37
2026-02-17,dal-02,400,28,180,140,80,27518,0.262
2026-02-18,dal-02,395,18,177,138,80,24279,0.253
2026-02-19,dal-02,437,34,196,152,89,25932,0.306
2026-02-20,dal-02,439,32,197,153,89,29233,0.327
2026-02-21,dal-02,441,22,198,154,89,27553,0.29
2026-02-23,dal-02,410,21,184,143,83,26165,0.308
2026-02-24,dal-02,438,16,197,153,88,26537,0.329
2026-02-25,dal-02,427,23,192,149,86,26461,0.33
2026-02-26,dal-02,418,22,188,146,84,26267,0.313
2026-02-27,dal-02,434,19,195,151,88,24975,0.341
2026-02-28,dal-02,422,26,189,147,86,29666,0.318
2026-03-02,dal-02,402,31,180,140,82,27123,0.345
2026-03-03,dal-02,409,30,184,143,82,24582,0.318
2026-03-04,dal-02,421,26,189,147,85,29335,0.299
2026-03-05,dal-02,428,36,192,149,87,27544,0.326
2026-03-06,dal-02,397,26,178,138,81,25048,0.338
2026-03-07,dal-02,418,32,188,146,84,30169,0.263
2026-03-09,dal-02,421,31,189,147,85,23389,0.277
2026-03-10,dal-02,405,36,182,141,82,27077,0.275
