date,facility_id,headcount_total,headcount_new,headcount_shift1,headcount_shift2,headcount_shift3,inbound_units,order_mix_complex
2026-01-19,hou-01,358,17,161,125,72,22176,0.306
2026-01-20,hou-01,382,21,171,133,78,25464,0.269
2026-01-21,hou-01,374,22,168,130,76,25429,0.294
2026-01-22,hou-01,392,22,176,137,79,23065,0.29
2026-01-23,hou-01,372,17,167,130,75,24443,0.3
2026-01-24,hou-01,389,20,175,136,78,27314,0.287
2026-01-26,hou-01,376,21,169,131,76,23098,0.273
2026-01-27,hou-01,388,15,174,135,79,24157,0.267
2026-01-28,hou-01,370,23,166,129,75,22733,0.272
2026-01-29,hou-01,378,21,170,132,76,22275,0.253
2026-01-30,hou-01,377,17,169,131,77,21292,0.286
2026-01-31,hou-01,393,19,176,137,80,24103,0.282
2026-02-02,hou-01,396,16,178,138,80,22300,0.281
2026-02-03,hou-01,379,22,170,132,77,22527,0.286
2026-02-04,hou-01,381,15,171,133,77,25200,0.283
2026-02-05,hou-01,381,18,171,133,77,23339,0.275
2026-02-06,hou-01,374,24,168,130,76,27571,0.321
2026-02-07,hou-01,374,16,168,130,76,21624,0.296
2026-02-09,hou-01,386,13,173,135,78,26480,0.32
2026-02-10,hou-01,369,19,166,129,74,22179,0.248
2026-02-11,hou-01,357,20,160,124,73,22096,0.348
2026-02-12,hou-01,388,17,174,135,79,23808,0.275
2026-02-13,hou-01,374,13,168,130,76,26329,0.268
2026-02-14,hou-01,382,11,171,133,78,24517,0.271
2026-02-16,hou-01,377,13,169,131,77,21772,0.233
2026-02-17,hou-01,372,19,167,130,75,26394,0.267
2026-02-18,hou-01,398,15,179,139,80,25180,0.328
2026-02-19,hou-01,382,24,171,133,78,23037,0.3
2026-02-20,hou-01,360,14,162,125,73,24895,0.309
2026-02-21,hou-01,373,14,167,130,76,22905,0.265
2026-02-23,hou-01,386,20,173,135,78,24405,0.278
2026-02-24,hou-01,409,20,184,143,82,23903,0.29
2026-02-25,hou-01,408,21,183,142,83,25739,0.297
2026-02-26,hou-01,375,25,168,131,76,25422,0.285
2026-02-27,hou-01,368,19,165,128,75,26216,0.286
2026-02-28,hou-01,392,19,176,137,79,23887,0.313
2026-03-02,hou-01,376,15,169,131,76,24041,0.258
2026-03-03,hou-01,376,23,169,131,76,23369,0.298
2026-03-04,hou-01,385,17,173,134,78,20896,0.322
2026-03-05,hou-01,402,16,180,140,82,26560,0.289
2026-03-06,hou-01,391,17,175,136,80,20876,0.253
2026-03-07,hou-01,384,18,172,134,78,25001,0.265
2026-03-09,hou-01,365,13,164,127,74,22056,0.265
2026-03-10,hou-01,377,18,169,131,77,23854,0.209
2026-03-11,hou-01,402,22,180,140,82,20256,0.313
2026-03-12,hou-01,386,18,173,135,78,25406,0.263
2026-03-13,hou-01,368,15,165,128,75,23113,0.278
2026-03-14,hou-01,354,17,159,123,72,23328,0.307
2026-03-16,hou-01,372,17,167,130,75,22863,0.285
2026-03-17,hou-01,401,20,180,140,81,22469,0.254
2026-03-18,hou-01,374,24,168,130,76,27447,0.305
2026-03-19,hou-01,368,14,165,128,75,26435,0.242
2026-03-20,hou-01,386,16,173,135,78,27546,0.276
2026-03-21,hou-01,369,19,166,129,74,23686,0.22
2026-03-23,hou-01,372,20,167,130,75,21655,0.319
2026-03-24,hou-01,369,16,166,129,74,24858,0.291
2026-03-25,hou-01,388,23,174,135,79,24669,0.266
2026-03-26,hou-01,376,20,169,131,76,18749,0.266
2026-03-27,hou-01,383,15,172,134,77,23501,0.257
2026-03-28,hou-01,384,20,172,134,78,26055,0.287
2026-03-30,hou-01,387,16,174,135,78,21754,0.303
2026-03-31,hou-01,373,18,167,130,76,23642,0.311
2026-04-01,hou-01,356,18,160,124,72,22404,0.304
2026-04-02,hou-01,378,17,170,132,76,25960,0.258
2026-04-03,hou-01,393,19,176,137,80,19046,0.288
2026-04-04,hou-01,376,22,169,131,76,25412,0.281
2026-04-06,hou-01,391,18,175,136,80,22242,0.285
2026-04-07,hou-01,401,19,180,140,81,26058,0.228
2026-04-08,hou-01,370,18,166,129,75,26069,0.288
2026-04-09,hou-01,381,16,171,133,77,23799,0.293
2026-04-10,hou-01,379,10,170,132,77,23195,0.258
2026-04-11,hou-01,378,22,170,132,76,21679,0.315
2026-04-13,hou-01,392,18,176,137,79,19757,0.281
2026-04-14,hou-01,375,25,168,131,76,24634,0.325
2026-04-15,hou-01,384,20,172,134,78,22022,0.304
2026-04-16,hou-01,366,19,164,128,74,23038,0.248
2026-04-17,hou-01,378,22,170,132,76,22402,0.319
2026-04-18,hou-01,399,24,179,139,81,23934,0.31
2026-04-20,hou-01,382,18,171,133,78,23374,0.276
2026-04-21,hou-01,394,18,177,137,80,25805,0.225
2026-04-22,hou-01,393,24,176,137,80,24841,0.295
2026-04-23,hou-01,392,19,176,137,79,24571,0.291
2026-04-24,hou-01,389,19,175,136,78,24649,0.288
2026-04-25,hou-01,394,18,177,137,80,26133,0.304
2026-04-27,hou-01,366,20,164,128,74,21786,0.258
2026-04-28,hou-01,362,20,162,126,74,25461,0.26
2026-04-29,hou-01,391,25,175,136,80,23020,0.282
2026-04-30,hou-01,367,17,165,128,74,21557,0.277
2026-05-01,hou-01,400,22,180,140,80,25007,0.277
2026-05-02,hou-01,384,14,172,134,78,27418,0.283
2026-05-04,hou-01,384,20,172,134,78,26259,0.247
2026-05-05,hou-01,363,20,163,127,73,24806,0.281
2026-05-06,hou-01,356,17,160,124,72,23180,0.298
2026-05-07,hou-01,382,19,171,133,78,26259,0.327
2026-05-08,hou-01,380,19,171,133,76,23735,0.245
2026-05-09,hou-01,370,21,166,129,75,25063,0.243
2026-05-11,hou-01,384,21,172,134,78,24025,0.276
2026-05-12,hou-01,384,13,172,134,78,25046,0.282
2026-05-13,hou-01,386,22,173,135,78,18826,0.291
2026-05-14,hou-01,354,17,159,123,72,24705,0.279
2026-05-15,hou-01,374,11,168,130,76,25084,0.306
2026-05-16,hou-01,385,21,173,134,78,25569,0.301
2026-05-18,hou-01,367,20,165,128,74,21500,0.256
