date,facility_id,headcount_total,headcount_new,headcount_shift1,headcount_shift2,headcount_shift3,inbound_units,order_mix_complex
2026-01-19,ral-02,203,5,111,91,1,37265,0.056
2026-01-20,ral-02,206,5,113,92,1,37181,0.1
2026-01-21,ral-02,201,9,110,90,1,36188,0.106
2026-01-22,ral-02,200,5,110,90,0,35273,0.093
2026-01-23,ral-02,202,8,111,90,1,33999,0.087
2026-01-24,ral-02,184,4,101,82,1,37901,0.122
2026-01-26,ral-02,203,4,111,91,1,36784,0.11
2026-01-27,ral-02,200,5,110,90,0,39452,0.142
2026-01-28,ral-02,201,9,110,90,1,46249,0.121
2026-01-29,ral-02,195,7,107,87,1,36187,0.143
2026-01-30,ral-02,195,7,107,87,1,39385,0.118
2026-01-31,ral-02,197,6,108,88,1,41154,0.09
2026-02-02,ral-02,190,8,104,85,1,40193,0.137
2026-02-03,ral-02,202,10,111,90,1,38918,0.114
2026-02-04,ral-02,188,11,103,84,1,36291,0.088
2026-02-05,ral-02,185,9,101,83,1,40777,0.151
2026-02-06,ral-02,195,7,107,87,1,40292,0.052
2026-02-07,ral-02,201,8,110,90,1,40034,0.116
2026-02-09,ral-02,203,6,111,91,1,40289,0.093
2026-02-10,ral-02,197,10,108,88,1,39116,0.087
2026-02-11,ral-02,199,9,109,89,1,37213,0.1
2026-02-12,ral-02,206,7,113,92,1,34730,0.108
2026-02-13,ral-02,208,7,114,93,1,35091,0.07
2026-02-14,ral-02,190,11,104,85,1,33580,0.132
2026-02-16,ral-02,195,8,107,87,1,39846,0.096
2026-02-17,ral-02,198,6,108,89,1,34273,0.126
2026-02-18,ral-02,211,9,116,94,1,37177,0.039
2026-02-19,ral-02,204,7,112,91,1,40041,0.094
2026-02-20,ral-02,203,6,111,91,1,35645,0.091
2026-02-21,ral-02,196,8,107,88,1,40332,0.121
2026-02-23,ral-02,198,9,108,89,1,38024,0.128
2026-02-24,ral-02,199,9,109,89,1,42094,0.111
2026-02-25,ral-02,202,9,111,90,1,31010,0.119
2026-02-26,ral-02,203,12,111,91,1,34544,0.084
2026-02-27,ral-02,196,9,107,88,1,38746,0.074
2026-02-28,ral-02,208,9,114,93,1,31893,0.14
2026-03-02,ral-02,201,7,110,90,1,37146,0.14
2026-03-03,ral-02,199,11,109,89,1,36209,0.085
2026-03-04,ral-02,195,7,107,87,1,40770,0.126
2026-03-05,ral-02,204,5,112,91,1,34346,0.093
2026-03-06,ral-02,200,9,110,90,0,33932,0.135
2026-03-07,ral-02,211,6,116,94,1,40482,0.088
2026-03-09,ral-02,201,10,110,90,1,34852,0.131
2026-03-10,ral-02,204,6,112,91,1,34362,0.143
2026-03-11,ral-02,199,8,109,89,1,34047,0.132
2026-03-12,ral-02,205,5,112,92,1,32709,0.067
2026-03-13,ral-02,198,6,108,89,1,39824,0.106
