date,facility_id,headcount_total,headcount_new,headcount_shift1,headcount_shift2,headcount_shift3,inbound_units,order_mix_complex
2026-01-19,sav-01,156,8,85,70,1,12073,0.093
2026-01-20,sav-01,150,5,82,67,1,12094,0.119
2026-01-21,sav-01,149,5,81,67,1,11165,0.037
2026-01-22,sav-01,151,3,83,67,1,11813,0.091
2026-01-23,sav-01,154,4,84,69,1,13118,0.091
2026-01-24,sav-01,147,2,80,66,1,12510,0.062
2026-01-26,sav-01,149,3,81,67,1,12721,0.077
2026-01-27,sav-01,149,4,81,67,1,10375,0.111
2026-01-28,sav-01,153,2,84,68,1,11990,0.0
2026-01-29,sav-01,156,2,85,70,1,14012,0.071
2026-01-30,sav-01,154,6,84,69,1,13137,0.044
2026-01-31,sav-01,150,6,82,67,1,11420,0.097
2026-02-02,sav-01,145,4,79,65,1,9643,0.037
2026-02-03,sav-01,149,4,81,67,1,11029,0.039
2026-02-04,sav-01,146,4,80,65,1,11381,0.061
2026-02-05,sav-01,155,6,85,69,1,11682,0.072
2026-02-06,sav-01,146,1,80,65,1,10371,0.088
2026-02-07,sav-01,155,1,85,69,1,12300,0.068
2026-02-09,sav-01,151,4,83,67,1,12273,0.09
2026-02-10,sav-01,152,5,83,68,1,11785,0.048
2026-02-11,sav-01,154,3,84,69,1,11705,0.089
2026-02-12,sav-01,144,6,79,64,1,8986,0.066
2026-02-13,sav-01,149,4,81,67,1,12044,0.121
2026-02-14,sav-01,157,3,86,70,1,13597,0.089
2026-02-16,sav-01,144,5,79,64,1,10550,0.053
2026-02-17,sav-01,150,3,82,67,1,12290,0.08
2026-02-18,sav-01,153,5,84,68,1,11442,0.111
2026-02-19,sav-01,161,6,88,72,1,11694,0.087
2026-02-20,sav-01,148,2,81,66,1,12664,0.084
2026-02-21,sav-01,144,3,79,64,1,11376,0.166
2026-02-23,sav-01,145,5,79,65,1,11242,0.096
2026-02-24,sav-01,143,2,78,64,1,10976,0.067
2026-02-25,sav-01,147,2,80,66,1,11870,0.053
2026-02-26,sav-01,153,4,84,68,1,11138,0.047
2026-02-27,sav-01,147,3,80,66,1,12736,0.088
2026-02-28,sav-01,148,4,81,66,1,10794,0.081
2026-03-02,sav-01,150,6,82,67,1,11047,0.062
2026-03-03,sav-01,151,5,83,67,1,10850,0.093
2026-03-04,sav-01,149,5,81,67,1,12580,0.037
2026-03-05,sav-01,145,6,79,65,1,10456,0.036
2026-03-06,sav-01,150,3,82,67,1,12627,0.1
2026-03-07,sav-01,145,3,79,65,1,12169,0.057
2026-03-09,sav-01,144,2,79,64,1,10975,0.105
2026-03-10,sav-01,152,5,83,68,1,12153,0.099
2026-03-11,sav-01,147,3,80,66,1,12666,0.059
2026-03-12,sav-01,160,5,88,72,0,10607,0.064
2026-03-13,sav-01,149,4,81,67,1,12555,0.069
2026-03-14,sav-01,156,5,85,70,1,12286,0.085
2026-03-16,sav-01,157,6,86,70,1,11757,0.087
2026-03-17,sav-01,153,6,84,68,1,10876,0.087
2026-03-18,sav-01,151,2,83,67,1,11060,0.065
2026-03-19,sav-01,147,1,80,66,1,11121,0.079
2026-03-20,sav-01,150,3,82,67,1,10591,0.063
2026-03-21,sav-01,147,5,80,66,1,10292,0.039
2026-03-23,sav-01,155,5,85,69,1,10303,0.092
2026-03-24,sav-01,151,4,83,67,1,10807,0.0
2026-03-25,sav-01,151,3,83,67,1,11627,0.048
2026-03-26,sav-01,145,4,79,65,1,8905,0.042
2026-03-27,sav-01,156,3,85,70,1,12504,0.022
2026-03-28,sav-01,149,4,81,67,1,11480,0.106
2026-03-30,sav-01,150,2,82,67,1,10544,0.067
2026-03-31,sav-01,145,2,79,65,1,12337,0.081
2026-04-01,sav-01,146,5,80,65,1,12176,0.098
2026-04-02,sav-01,150,3,82,67,1,11437,0.098
2026-04-03,sav-01,144,3,79,64,1,11652,0.069
2026-04-04,sav-01,149,7,81,67,1,14473,0.079
2026-04-06,sav-01,148,3,81,66,1,10907,0.07
2026-04-07,sav-01,150,3,82,67,1,11453,0.061
2026-04-08,sav-01,154,5,84,69,1,11933,0.107
2026-04-09,sav-01,150,5,82,67,1,12707,0.064
2026-04-10,sav-01,143,5,78,64,1,13497,0.034
2026-04-11,sav-01,148,4,81,66,1,11760,0.115
2026-04-13,sav-01,147,4,80,66,1,11790,0.114
2026-04-14,sav-01,146,4,80,65,1,11227,0.133
2026-04-15,sav-01,156,5,85,70,1,12369,0.118
2026-04-16,sav-01,149,3,81,67,1,12073,0.094
2026-04-17,sav-01,146,5,80,65,1,10573,0.049
2026-04-18,sav-01,151,5,83,67,1,10773,0.053
2026-04-20,sav-01,153,5,84,68,1,11356,0.085
2026-04-21,sav-01,149,4,81,67,1,10911,0.105
2026-04-22,sav-01,154,2,84,69,1,11070,0.07
2026-04-23,sav-01,145,6,79,65,1,10447,0.112
2026-04-24,sav-01,153,1,84,68,1,10798,0.089
2026-04-25,sav-01,145,6,79,65,1,13695,0.045
2026-04-27,sav-01,138,4,75,62,1,9775,0.077
2026-04-28,sav-01,149,3,81,67,1,12803,0.122
2026-04-29,sav-01,157,4,86,70,1,12744,0.046
2026-04-30,sav-01,152,3,83,68,1,12499,0.1
2026-05-01,sav-01,152,3,83,68,1,11379,0.069
2026-05-02,sav-01,158,4,86,71,1,11175,0.092
2026-05-04,sav-01,151,3,83,67,1,12721,0.051
2026-05-05,sav-01,147,1,80,66,1,10378,0.049
2026-05-06,sav-01,158,4,86,71,1,11275,0.006
2026-05-07,sav-01,149,3,81,67,1,12144,0.048
2026-05-08,sav-01,154,3,84,69,1,10346,0.129
2026-05-09,sav-01,143,4,78,64,1,10571,0.071
2026-05-11,sav-01,153,7,84,68,1,11410,0.059
2026-05-12,sav-01,144,7,79,64,1,12128,0.041
2026-05-13,sav-01,146,4,80,65,1,10717,0.084
2026-05-14,sav-01,149,4,81,67,1,13254,0.104
2026-05-15,sav-01,154,4,84,69,1,11130,0.093
