date,facility_id,units,cph,error_rate,hours_run
2026-01-19,atl-03,34676,91.02,1.64,32.9
2026-01-20,atl-03,41025,94.16,1.22,30.5
2026-01-21,atl-03,36551,91.79,1.18,29.1
2026-01-22,atl-03,37963,92.58,1.42,32.0
2026-01-23,atl-03,40810,94.21,1.49,32.8
2026-01-24,atl-03,39714,98.33,1.84,30.2
2026-01-26,atl-03,35780,89.67,1.27,31.8
2026-01-27,atl-03,34896,92.08,1.51,32.2
2026-01-28,atl-03,35430,93.22,1.34,30.0
2026-01-29,atl-03,42624,96.26,0.71,32.8
2026-01-30,atl-03,38532,101.61,1.91,33.1
2026-01-31,atl-03,34590,98.18,1.55,31.3
2026-02-02,atl-03,38313,90.13,1.79,31.2
2026-02-03,atl-03,37390,88.29,1.15,32.4
2026-02-04,atl-03,41181,94.87,1.11,33.2
2026-02-05,atl-03,39599,90.2,1.19,30.7
2026-02-06,atl-03,42322,92.6,0.78,32.5
2026-02-07,atl-03,42809,95.14,1.69,31.5
2026-02-09,atl-03,41019,90.28,1.55,31.6
2026-02-10,atl-03,40570,95.67,1.58,30.0
2026-02-11,atl-03,40126,94.2,1.12,31.7
2026-02-12,atl-03,38346,92.34,1.04,33.7
2026-02-13,atl-03,40268,91.9,1.25,31.5
2026-02-14,atl-03,41915,99.77,1.21,31.5
2026-02-16,atl-03,37552,90.85,1.24,33.5
2026-02-17,atl-03,35358,84.81,1.5,30.5
2026-02-18,atl-03,37156,90.9,1.53,30.5
2026-02-19,atl-03,40465,93.69,1.46,33.5
2026-02-20,atl-03,37774,93.23,1.59,32.1
2026-02-21,atl-03,38997,99.18,1.47,32.2
2026-02-23,atl-03,34554,89.73,1.57,32.1
2026-02-24,atl-03,38515,90.31,0.98,29.9
2026-02-25,atl-03,40461,89.47,0.95,30.9
2026-02-26,atl-03,42603,95.0,1.28,32.5
2026-02-27,atl-03,39259,91.93,1.03,34.4
2026-02-28,atl-03,42308,95.9,1.17,33.3
2026-03-02,atl-03,38261,90.37,1.47,30.6
2026-03-03,atl-03,36615,92.56,1.35,29.9
2026-03-04,atl-03,37242,95.31,0.95,29.1
2026-03-05,atl-03,45706,91.16,1.19,31.5
2026-03-06,atl-03,40448,90.34,0.8,29.2
2026-03-07,atl-03,42468,97.45,1.82,31.4
2026-03-09,atl-03,41043,92.94,1.37,32.1
2026-03-10,atl-03,34509,93.93,1.25,30.7
2026-03-11,atl-03,37395,91.42,1.72,31.3
2026-03-12,atl-03,36047,94.35,1.42,28.5
2026-03-13,atl-03,40996,94.41,1.8,30.8
2026-03-14,atl-03,43636,94.3,1.18,34.3
2026-03-16,atl-03,34149,93.02,1.11,30.7
2026-03-17,atl-03,41832,91.04,1.7,33.4
2026-03-18,atl-03,39782,90.82,1.29,32.4
2026-03-19,atl-03,41678,94.0,1.23,30.7
2026-03-20,atl-03,42041,95.83,1.71,29.6
2026-03-21,atl-03,41595,94.07,1.28,33.2
2026-03-23,atl-03,39010,92.3,1.6,31.5
2026-03-24,atl-03,37388,90.63,1.76,29.4
2026-03-25,atl-03,42521,90.93,1.13,32.9
2026-03-26,atl-03,38190,92.74,1.08,31.8
2026-03-27,atl-03,39051,95.36,1.21,33.8
2026-03-28,atl-03,43676,96.42,1.06,28.8
2026-03-30,atl-03,41601,90.07,1.41,31.8
2026-03-31,atl-03,37571,92.9,1.3,32.5
