date,facility_id,units,cph,error_rate,hours_run
2026-01-19,hou-01,24317,123.4,2.63,63.3
2026-01-20,hou-01,25258,132.68,2.66,63.9
2026-01-21,hou-01,25151,132.72,1.87,60.8
2026-01-22,hou-01,24189,136.3,2.18,62.8
2026-01-23,hou-01,21205,144.08,2.5,59.4
2026-01-24,hou-01,21086,140.78,2.12,57.1
2026-01-26,hou-01,20317,127.4,2.39,61.7
2026-01-27,hou-01,23027,133.37,2.44,61.6
2026-01-28,hou-01,22063,136.68,2.35,59.6
2026-01-29,hou-01,24629,145.87,2.19,59.8
2026-01-30,hou-01,20270,135.34,1.8,57.1
2026-01-31,hou-01,24270,142.65,2.5,60.7
2026-02-02,hou-01,19327,136.06,2.2,59.4
2026-02-03,hou-01,23761,130.94,1.47,58.4
2026-02-04,hou-01,23549,138.22,2.45,57.6
2026-02-05,hou-01,24260,132.88,3.01,63.4
2026-02-06,hou-01,25777,142.25,2.75,56.6
2026-02-07,hou-01,24098,146.25,2.22,63.6
2026-02-09,hou-01,21136,135.6,2.44,60.5
2026-02-10,hou-01,24884,130.79,2.41,60.9
2026-02-11,hou-01,23362,135.6,2.36,61.9
2026-02-12,hou-01,22388,135.6,1.77,61.4
2026-02-13,hou-01,25371,139.8,2.09,63.2
2026-02-14,hou-01,23151,143.87,3.1,58.5
2026-02-16,hou-01,23281,129.52,2.34,62.6
2026-02-17,hou-01,22235,129.34,2.12,59.7
2026-02-18,hou-01,19537,133.35,2.46,58.7
2026-02-19,hou-01,27507,136.42,2.68,63.5
2026-02-20,hou-01,22110,132.43,2.13,61.6
2026-02-21,hou-01,20520,138.66,2.18,61.4
2026-02-23,hou-01,23286,130.19,2.2,60.0
2026-02-24,hou-01,23493,131.01,2.53,58.9
2026-02-25,hou-01,22172,132.98,1.7,59.6
2026-02-26,hou-01,25943,143.38,2.2,57.8
2026-02-27,hou-01,24812,142.37,2.52,58.6
2026-02-28,hou-01,23462,136.66,2.46,61.7
2026-03-02,hou-01,21604,128.04,2.59,58.5
2026-03-03,hou-01,22104,132.69,1.99,64.8
2026-03-04,hou-01,21822,127.35,2.73,59.6
2026-03-05,hou-01,21961,132.43,3.16,62.9
2026-03-06,hou-01,24074,145.21,2.37,60.7
2026-03-07,hou-01,23095,138.53,3.0,62.0
2026-03-09,hou-01,22813,130.68,2.28,60.1
2026-03-10,hou-01,23869,127.81,2.48,60.5
2026-03-11,hou-01,23717,135.12,2.79,61.7
2026-03-12,hou-01,24856,130.77,2.36,62.2
2026-03-13,hou-01,24312,134.0,2.78,59.6
2026-03-14,hou-01,22922,144.61,3.11,61.7
2026-03-16,hou-01,21302,131.46,2.82,59.2
2026-03-17,hou-01,22013,132.14,3.15,61.2
2026-03-18,hou-01,25135,141.8,1.89,63.7
2026-03-19,hou-01,21922,137.2,2.95,61.7
2026-03-20,hou-01,23612,134.87,2.33,60.3
2026-03-21,hou-01,25312,145.25,3.11,62.2
2026-03-23,hou-01,20545,134.37,2.91,58.5
2026-03-24,hou-01,25142,130.68,2.78,61.9
2026-03-25,hou-01,24342,127.02,2.97,62.2
2026-03-26,hou-01,23856,137.1,2.58,64.2
2026-03-27,hou-01,24900,140.08,1.98,62.9
2026-03-28,hou-01,23825,144.03,2.67,59.0
2026-03-30,hou-01,22664,132.9,2.43,62.9
2026-03-31,hou-01,21970,135.9,2.51,58.9
2026-04-01,hou-01,21104,137.79,2.81,61.2
2026-04-02,hou-01,23450,134.52,2.8,57.3
2026-04-03,hou-01,24183,133.28,2.44,63.2
2026-04-04,hou-01,23701,144.74,2.57,63.7
2026-04-06,hou-01,22099,128.55,1.95,62.0
2026-04-07,hou-01,23991,140.7,2.52,60.4
2026-04-08,hou-01,23342,134.0,2.17,63.6
2026-04-09,hou-01,24210,134.0,2.78,60.5
2026-04-10,hou-01,22999,139.85,1.91,60.8
2026-04-11,hou-01,25484,131.24,2.8,60.8
2026-04-13,hou-01,21180,137.41,2.49,59.0
2026-04-14,hou-01,22440,121.68,2.08,58.1
2026-04-15,hou-01,22465,137.53,2.15,55.8
2026-04-16,hou-01,24553,136.55,2.25,60.9
2026-04-17,hou-01,25857,141.71,2.54,62.7
2026-04-18,hou-01,24785,145.44,1.45,59.0
2026-04-20,hou-01,20731,128.94,2.13,62.6
2026-04-21,hou-01,22735,134.04,2.88,56.7
2026-04-22,hou-01,21144,141.64,2.51,60.8
2026-04-23,hou-01,20580,137.95,2.32,60.5
2026-04-24,hou-01,28883,140.98,1.84,61.9
2026-04-25,hou-01,23452,144.67,2.7,58.2
2026-04-27,hou-01,23062,131.39,2.83,61.4
2026-04-28,hou-01,21840,138.29,2.55,63.8
2026-04-29,hou-01,24321,130.23,1.74,58.9
2026-04-30,hou-01,23026,140.95,2.08,63.0
2026-05-01,hou-01,23074,138.41,2.37,59.1
2026-05-02,hou-01,24266,137.47,2.42,59.2
2026-05-04,hou-01,22342,134.43,2.18,58.8
2026-05-05,hou-01,23504,131.03,2.41,60.5
2026-05-06,hou-01,23935,135.23,3.17,66.0
2026-05-07,hou-01,22850,131.82,2.42,61.8
2026-05-08,hou-01,24089,134.18,1.96,61.0
2026-05-09,hou-01,22621,145.92,2.49,59.0
2026-05-11,hou-01,21223,125.93,2.08,56.5
2026-05-12,hou-01,23000,141.72,1.69,60.5
2026-05-13,hou-01,25704,134.89,2.4,61.8
2026-05-14,hou-01,20892,135.06,2.79,63.7
2026-05-15,hou-01,23614,135.55,2.59,59.7
2026-05-16,hou-01,21200,143.87,1.64,62.5
2026-05-18,hou-01,20133,138.83,2.49,64.0
