date,facility_id,units,cph,error_rate,hours_run
2026-01-19,ral-02,34121,87.59,1.3,31.1
2026-01-20,ral-02,36066,85.14,1.01,28.4
2026-01-21,ral-02,34149,91.43,1.4,30.4
2026-01-22,ral-02,35551,93.59,1.36,30.4
2026-01-23,ral-02,32302,90.41,1.58,29.8
2026-01-24,ral-02,31847,92.6,1.65,29.3
2026-01-26,ral-02,33478,93.98,1.36,29.6
2026-01-27,ral-02,37379,86.11,1.69,31.6
2026-01-28,ral-02,35391,89.37,1.11,31.7
2026-01-29,ral-02,36606,92.44,1.64,28.0
2026-01-30,ral-02,36057,94.75,0.73,27.6
2026-01-31,ral-02,33862,95.0,1.64,29.7
2026-02-02,ral-02,36431,84.18,1.26,30.0
2026-02-03,ral-02,37260,90.02,1.52,31.7
2026-02-04,ral-02,33009,90.62,1.23,30.6
2026-02-05,ral-02,34743,88.97,1.42,31.5
2026-02-06,ral-02,34752,91.5,1.2,27.1
2026-02-07,ral-02,39230,94.99,1.22,31.3
2026-02-09,ral-02,32927,85.08,1.52,29.2
2026-02-10,ral-02,31989,87.18,1.53,29.0
2026-02-11,ral-02,34802,92.19,1.38,33.0
2026-02-12,ral-02,36904,91.54,1.8,29.0
2026-02-13,ral-02,35372,92.64,1.48,30.7
2026-02-14,ral-02,33745,95.59,1.55,32.2
2026-02-16,ral-02,33159,86.85,1.73,28.5
2026-02-17,ral-02,33928,91.75,1.0,30.2
2026-02-18,ral-02,32587,91.43,1.69,30.4
2026-02-19,ral-02,31369,95.75,1.65,28.9
2026-02-20,ral-02,33263,93.02,1.7,32.1
2026-02-21,ral-02,38371,93.99,1.42,31.0
2026-02-23,ral-02,33413,87.92,1.68,29.5
2026-02-24,ral-02,38474,91.56,1.55,27.6
2026-02-25,ral-02,36216,88.66,1.45,29.9
2026-02-26,ral-02,35442,84.33,1.36,29.2
2026-02-27,ral-02,34693,94.63,1.39,29.6
2026-02-28,ral-02,36324,92.39,1.65,31.4
2026-03-02,ral-02,37140,88.81,1.15,30.3
2026-03-03,ral-02,39236,87.47,1.49,29.6
2026-03-04,ral-02,37600,90.96,1.14,28.3
2026-03-05,ral-02,35066,93.16,1.39,29.6
2026-03-06,ral-02,32503,92.84,1.68,29.7
2026-03-07,ral-02,37050,96.72,1.03,33.9
2026-03-09,ral-02,31113,92.52,1.27,27.4
2026-03-10,ral-02,34558,94.73,1.71,29.2
2026-03-11,ral-02,35525,89.84,1.03,29.0
2026-03-12,ral-02,34385,91.24,1.47,28.5
2026-03-13,ral-02,37629,89.62,1.28,30.7
2026-03-14,ral-02,38759,94.4,1.19,27.9
2026-03-16,ral-02,37342,90.38,1.31,30.2
2026-03-17,ral-02,37821,88.61,1.87,28.5
2026-03-18,ral-02,38548,92.76,1.39,30.4
2026-03-19,ral-02,35074,93.89,1.15,30.2
2026-03-20,ral-02,34157,85.24,1.43,32.9
2026-03-21,ral-02,39053,94.41,1.15,27.1
2026-03-23,ral-02,36586,84.28,1.22,28.8
2026-03-24,ral-02,38087,89.57,1.68,32.9
