date,facility_id,units,cph,error_rate,hours_run
2026-01-19,sav-01,11446,69.6,1.31,28.9
2026-01-20,sav-01,10905,68.88,0.73,28.6
2026-01-21,sav-01,10536,72.15,0.74,26.9
2026-01-22,sav-01,10079,72.26,1.43,28.8
2026-01-23,sav-01,11385,72.64,0.81,28.7
2026-01-24,sav-01,10822,72.51,0.73,29.4
2026-01-26,sav-01,9746,67.27,1.19,27.1
2026-01-27,sav-01,10194,69.53,1.09,27.5
2026-01-28,sav-01,11196,67.22,1.12,27.3
2026-01-29,sav-01,11883,72.08,0.88,27.8
2026-01-30,sav-01,9913,74.46,1.08,29.1
2026-01-31,sav-01,10548,67.6,1.01,28.7
2026-02-02,sav-01,12138,67.91,1.13,28.9
2026-02-03,sav-01,11510,64.16,0.83,26.5
2026-02-04,sav-01,11270,68.65,0.63,27.7
2026-02-05,sav-01,11696,71.12,0.81,28.9
2026-02-06,sav-01,12815,71.63,0.73,29.3
2026-02-07,sav-01,11539,71.51,0.74,26.4
2026-02-09,sav-01,12115,68.07,1.3,27.7
2026-02-10,sav-01,11566,69.61,0.98,27.8
2026-02-11,sav-01,10804,70.01,1.42,27.6
2026-02-12,sav-01,11234,72.34,0.87,28.6
2026-02-13,sav-01,12070,71.37,1.06,28.9
2026-02-14,sav-01,14030,75.89,0.73,26.7
2026-02-16,sav-01,9973,66.78,0.97,26.0
2026-02-17,sav-01,12337,69.8,1.19,27.1
2026-02-18,sav-01,12413,69.39,0.58,29.5
2026-02-19,sav-01,11391,71.57,0.79,28.4
2026-02-20,sav-01,11768,71.06,0.75,29.2
2026-02-21,sav-01,11903,72.27,1.01,29.1
2026-02-23,sav-01,11518,65.49,0.77,28.6
2026-02-24,sav-01,12442,69.56,1.12,25.2
2026-02-25,sav-01,11653,67.76,1.0,26.4
2026-02-26,sav-01,11632,67.94,0.98,27.7
2026-02-27,sav-01,10575,69.92,0.78,26.6
2026-02-28,sav-01,10820,73.62,0.93,27.4
2026-03-02,sav-01,10239,69.98,0.51,28.0
2026-03-03,sav-01,9779,67.61,0.58,29.2
2026-03-04,sav-01,10565,70.88,1.11,29.0
2026-03-05,sav-01,12301,68.88,0.77,28.1
2026-03-06,sav-01,10631,74.81,0.74,27.1
2026-03-07,sav-01,11459,70.07,0.89,28.5
2026-03-09,sav-01,10207,68.68,0.68,27.2
2026-03-10,sav-01,11122,69.2,0.97,28.6
2026-03-11,sav-01,12090,72.18,0.79,28.1
2026-03-12,sav-01,11573,69.22,1.16,27.6
2026-03-13,sav-01,12385,69.82,1.32,30.3
2026-03-14,sav-01,11867,72.56,0.74,29.4
2026-03-16,sav-01,10947,64.98,0.79,26.2
2026-03-17,sav-01,10689,66.42,0.55,27.6
2026-03-18,sav-01,11497,68.96,1.08,27.4
2026-03-19,sav-01,10649,69.43,0.73,28.8
2026-03-20,sav-01,9907,76.38,0.65,29.1
2026-03-21,sav-01,11467,73.52,1.03,26.2
2026-03-23,sav-01,9395,63.45,0.93,28.8
2026-03-24,sav-01,8846,70.86,0.94,31.2
2026-03-25,sav-01,9980,71.51,0.78,28.3
2026-03-26,sav-01,11469,72.33,0.83,30.0
2026-03-27,sav-01,9877,70.53,0.58,30.0
2026-03-28,sav-01,9994,75.97,0.98,26.4
2026-03-30,sav-01,10968,66.33,0.95,25.9
2026-03-31,sav-01,11423,72.09,0.88,27.9
2026-04-01,sav-01,12298,68.51,0.9,27.5
2026-04-02,sav-01,10692,71.65,0.89,26.0
2026-04-03,sav-01,10943,71.01,1.07,27.6
2026-04-04,sav-01,10250,70.27,1.07,29.5
2026-04-06,sav-01,10480,66.34,1.12,26.0
2026-04-07,sav-01,10540,71.05,0.81,26.5
2026-04-08,sav-01,12008,72.03,0.93,27.9
2026-04-09,sav-01,10183,69.29,1.32,29.3
2026-04-10,sav-01,10560,75.2,1.03,28.1
2026-04-11,sav-01,11289,72.69,1.02,28.7
2026-04-13,sav-01,12490,67.75,0.91,28.2
2026-04-14,sav-01,11308,69.31,0.84,28.1
2026-04-15,sav-01,10417,70.18,1.32,28.2
2026-04-16,sav-01,11401,68.03,1.39,29.7
2026-04-17,sav-01,12178,73.59,0.84,26.5
2026-04-18,sav-01,10017,73.62,1.05,28.9
2026-04-20,sav-01,10468,66.18,0.98,28.8
2026-04-21,sav-01,11168,71.56,0.46,27.0
2026-04-22,sav-01,11503,73.03,0.67,26.1
2026-04-23,sav-01,11297,71.27,0.76,29.6
2026-04-24,sav-01,10644,73.68,1.15,28.7
2026-04-25,sav-01,13286,72.63,0.88,27.9
2026-04-27,sav-01,12048,67.84,1.21,28.8
2026-04-28,sav-01,11914,68.84,0.64,26.4
2026-04-29,sav-01,10395,70.11,0.83,27.7
2026-04-30,sav-01,10251,69.73,0.87,28.5
2026-05-01,sav-01,12686,69.21,0.59,26.9
2026-05-02,sav-01,11592,70.79,1.07,27.3
2026-05-04,sav-01,8656,66.29,0.72,26.9
2026-05-05,sav-01,9208,72.29,0.87,26.6
2026-05-06,sav-01,11884,69.77,0.76,26.6
2026-05-07,sav-01,11199,72.5,1.05,27.5
2026-05-08,sav-01,10802,71.61,1.1,27.7
2026-05-09,sav-01,10450,72.38,0.66,25.0
2026-05-11,sav-01,12530,69.26,0.88,26.6
2026-05-12,sav-01,11961,67.88,1.17,29.2
2026-05-13,sav-01,10487,66.32,0.92,26.8
2026-05-14,sav-01,11120,70.95,0.84,29.1
2026-05-15,sav-01,12457,68.76,0.99,28.7
2026-05-16,sav-01,10680,70.4,0.47,28.5
2026-05-18,sav-01,10508,68.46,1.19,29.7
