date,facility_id,conveyor_down_m,mhe_down_m,wms_incidents,scanner_faults
2026-01-19,chr-03,6,23,0,0
2026-01-20,chr-03,9,27,0,0
2026-01-21,chr-03,0,16,0,2
2026-01-22,chr-03,1,21,1,0
2026-01-23,chr-03,13,16,0,1
2026-01-24,chr-03,4,19,0,0
2026-01-26,chr-03,0,17,1,2
2026-01-27,chr-03,0,23,0,2
2026-01-28,chr-03,3,19,0,1
2026-01-29,chr-03,11,19,0,1
2026-01-30,chr-03,2,10,0,3
2026-01-31,chr-03,2,22,0,2
2026-02-02,chr-03,6,28,0,1
2026-02-03,chr-03,7,17,0,1
2026-02-04,chr-03,6,24,0,2
2026-02-05,chr-03,8,15,1,2
2026-02-06,chr-03,5,22,0,1
2026-02-07,chr-03,6,29,0,0
2026-02-09,chr-03,0,10,0,1
2026-02-10,chr-03,9,10,0,1
2026-02-11,chr-03,1,19,1,0
2026-02-12,chr-03,4,9,0,1
2026-02-13,chr-03,2,18,0,0
2026-02-14,chr-03,9,0,0,2
2026-02-16,chr-03,0,34,0,0
2026-02-17,chr-03,0,29,0,3
2026-02-18,chr-03,4,17,0,1
2026-02-19,chr-03,0,8,0,2
2026-02-20,chr-03,14,14,0,1
2026-02-21,chr-03,11,18,1,0
2026-02-23,chr-03,0,30,0,0
2026-02-24,chr-03,8,12,0,1
2026-02-25,chr-03,5,13,1,2
2026-02-26,chr-03,0,32,0,1
2026-02-27,chr-03,8,28,0,2
2026-02-28,chr-03,0,7,0,0
2026-03-02,chr-03,13,13,0,0
2026-03-03,chr-03,14,9,0,0
2026-03-04,chr-03,8,11,0,2
2026-03-05,chr-03,4,1,0,2
2026-03-06,chr-03,9,15,0,2
2026-03-07,chr-03,0,17,0,2
2026-03-09,chr-03,0,25,0,3
2026-03-10,chr-03,4,22,0,0
2026-03-11,chr-03,2,23,0,0
2026-03-12,chr-03,9,8,0,1
2026-03-13,chr-03,1,31,0,0
2026-03-14,chr-03,8,23,0,3
2026-03-16,chr-03,11,10,1,3
2026-03-17,chr-03,0,17,0,1
2026-03-18,chr-03,5,19,0,2
2026-03-19,chr-03,5,25,0,0
2026-03-20,chr-03,0,25,0,0
2026-03-21,chr-03,9,25,1,2
2026-03-23,chr-03,2,18,1,0
2026-03-24,chr-03,7,25,0,4
2026-03-25,chr-03,9,21,0,0
2026-03-26,chr-03,10,20,0,0
2026-03-27,chr-03,7,25,0,1
2026-03-28,chr-03,0,25,0,2
2026-03-30,chr-03,7,14,0,2
2026-03-31,chr-03,6,22,0,0
2026-04-01,chr-03,7,23,1,1
2026-04-02,chr-03,8,23,1,0
2026-04-03,chr-03,18,30,1,0
2026-04-04,chr-03,6,10,0,1
2026-04-06,chr-03,13,22,0,0
2026-04-07,chr-03,8,19,0,1
2026-04-08,chr-03,0,29,0,0
2026-04-09,chr-03,1,17,0,1
2026-04-10,chr-03,1,31,0,2
2026-04-11,chr-03,12,16,0,2
2026-04-13,chr-03,8,21,0,2
2026-04-14,chr-03,7,23,0,0
2026-04-15,chr-03,6,17,0,0
2026-04-16,chr-03,8,16,0,0
2026-04-17,chr-03,0,11,0,1
2026-04-18,chr-03,12,7,1,1
2026-04-20,chr-03,11,14,0,0
2026-04-21,chr-03,6,13,0,1
2026-04-22,chr-03,10,23,0,1
2026-04-23,chr-03,16,21,0,2
2026-04-24,chr-03,2,19,0,0
2026-04-25,chr-03,0,6,1,1
2026-04-27,chr-03,5,35,0,1
2026-04-28,chr-03,10,33,0,2
2026-04-29,chr-03,10,26,0,1
2026-04-30,chr-03,0,13,0,3
2026-05-01,chr-03,2,23,0,1
2026-05-02,chr-03,2,19,0,0
2026-05-04,chr-03,7,34,0,2
2026-05-05,chr-03,11,21,0,1
2026-05-06,chr-03,6,19,0,1
2026-05-07,chr-03,0,28,0,2
2026-05-08,chr-03,5,29,0,0
2026-05-09,chr-03,4,22,0,0
2026-05-11,chr-03,8,6,0,2
2026-05-12,chr-03,6,32,0,0
2026-05-13,chr-03,1,12,0,1
2026-05-14,chr-03,10,31,0,1
2026-05-15,chr-03,9,11,1,1
2026-05-16,chr-03,6,7,0,3
2026-05-18,chr-03,3,14,1,1
