date,facility_id,units,cph,error_rate,hours_run
2026-01-19,chr-03,18952,131.31,3.07,59.9
2026-01-20,chr-03,22534,134.34,2.62,57.7
2026-01-21,chr-03,18308,131.91,1.95,56.6
2026-01-22,chr-03,21711,137.38,2.04,55.9
2026-01-23,chr-03,22217,134.06,1.97,55.8
2026-01-24,chr-03,19769,137.3,1.83,56.5
2026-01-26,chr-03,20871,135.95,2.55,56.0
2026-01-27,chr-03,20905,133.37,1.91,56.9
2026-01-28,chr-03,19285,129.21,1.75,55.1
2026-01-29,chr-03,21182,135.17,2.35,55.0
2026-01-30,chr-03,20815,143.55,2.43,58.4
2026-01-31,chr-03,19490,141.99,1.55,55.7
2026-02-02,chr-03,17832,135.2,1.84,55.8
2026-02-03,chr-03,18137,135.92,1.41,58.8
2026-02-04,chr-03,19671,135.85,1.75,56.4
2026-02-05,chr-03,21745,134.88,1.67,54.1
2026-02-06,chr-03,21222,135.71,2.69,58.1
2026-02-07,chr-03,21909,138.36,1.56,57.2
2026-02-09,chr-03,21998,128.65,2.29,58.3
2026-02-10,chr-03,19718,130.93,2.0,54.5
2026-02-11,chr-03,18747,137.76,2.87,54.4
2026-02-12,chr-03,19891,135.33,1.94,58.5
2026-02-13,chr-03,20456,134.1,2.96,58.2
2026-02-14,chr-03,18345,143.42,1.75,56.2
2026-02-16,chr-03,19049,125.83,2.67,54.2
2026-02-17,chr-03,19468,138.12,3.01,53.0
2026-02-18,chr-03,21288,141.46,2.54,57.4
2026-02-19,chr-03,20560,134.82,2.74,57.6
2026-02-20,chr-03,20084,142.57,2.08,57.1
2026-02-21,chr-03,19708,144.2,2.53,59.1
2026-02-23,chr-03,19199,133.71,3.31,54.9
2026-02-24,chr-03,18370,129.54,3.32,55.9
2026-02-25,chr-03,19134,136.83,2.09,54.8
2026-02-26,chr-03,16272,146.61,2.44,55.0
2026-02-27,chr-03,21186,131.86,2.28,54.5
2026-02-28,chr-03,22726,143.82,2.83,56.4
2026-03-02,chr-03,20550,137.74,1.94,58.5
2026-03-03,chr-03,20434,136.08,3.01,55.5
2026-03-04,chr-03,20063,132.35,3.44,59.2
2026-03-05,chr-03,19271,137.51,2.15,58.7
2026-03-06,chr-03,18977,134.74,2.83,59.1
2026-03-07,chr-03,22477,140.55,3.25,58.7
