date,facility_id,headcount_total,headcount_new,headcount_shift1,headcount_shift2,headcount_shift3,inbound_units,order_mix_complex
2026-01-19,chr-05,154,4,84,69,1,11009,0.033
2026-01-20,chr-05,168,5,92,75,1,12818,0.053
2026-01-21,chr-05,151,3,83,67,1,12754,0.082
2026-01-22,chr-05,159,7,87,71,1,13639,0.045
2026-01-23,chr-05,158,5,86,71,1,13209,0.046
2026-01-24,chr-05,158,5,86,71,1,14192,0.06
2026-01-26,chr-05,153,3,84,68,1,10541,0.04
2026-01-27,chr-05,165,5,90,74,1,10729,0.092
2026-01-28,chr-05,154,4,84,69,1,11738,0.112
2026-01-29,chr-05,161,3,88,72,1,11815,0.07
2026-01-30,chr-05,160,2,88,72,0,13336,0.12
2026-01-31,chr-05,156,6,85,70,1,10495,0.051
2026-02-02,chr-05,168,1,92,75,1,13633,0.086
2026-02-03,chr-05,157,3,86,70,1,12101,0.041
2026-02-04,chr-05,164,4,90,73,1,12987,0.053
2026-02-05,chr-05,153,3,84,68,1,10696,0.118
2026-02-06,chr-05,156,5,85,70,1,12738,0.068
2026-02-07,chr-05,160,5,88,72,0,11552,0.032
2026-02-09,chr-05,159,4,87,71,1,10953,0.044
2026-02-10,chr-05,163,6,89,73,1,10927,0.081
2026-02-11,chr-05,160,3,88,72,0,11859,0.073
2026-02-12,chr-05,160,5,88,72,0,12015,0.1
2026-02-13,chr-05,157,2,86,70,1,10446,0.076
2026-02-14,chr-05,159,6,87,71,1,13980,0.069
2026-02-16,chr-05,159,5,87,71,1,11927,0.066
2026-02-17,chr-05,158,3,86,71,1,12320,0.097
2026-02-18,chr-05,157,4,86,70,1,12732,0.112
2026-02-19,chr-05,165,2,90,74,1,13866,0.123
2026-02-20,chr-05,162,6,89,72,1,13151,0.093
2026-02-21,chr-05,166,4,91,74,1,13430,0.095
2026-02-23,chr-05,159,2,87,71,1,12055,0.118
2026-02-24,chr-05,151,4,83,67,1,12077,0.064
2026-02-25,chr-05,159,6,87,71,1,11396,0.042
2026-02-26,chr-05,164,5,90,73,1,13022,0.035
2026-02-27,chr-05,165,3,90,74,1,12088,0.097
2026-02-28,chr-05,162,4,89,72,1,12457,0.068
2026-03-02,chr-05,166,5,91,74,1,10190,0.083
2026-03-03,chr-05,156,4,85,70,1,11288,0.119
2026-03-04,chr-05,160,6,88,72,0,13048,0.097
2026-03-05,chr-05,166,4,91,74,1,12419,0.056
2026-03-06,chr-05,152,1,83,68,1,10772,0.073
2026-03-07,chr-05,160,4,88,72,0,13584,0.065
2026-03-09,chr-05,166,8,91,74,1,10340,0.078
2026-03-10,chr-05,158,5,86,71,1,12116,0.121
2026-03-11,chr-05,157,4,86,70,1,12168,0.121
2026-03-12,chr-05,166,6,91,74,1,12821,0.085
2026-03-13,chr-05,167,2,91,75,1,11233,0.14
2026-03-14,chr-05,168,9,92,75,1,12318,0.041
2026-03-16,chr-05,157,2,86,70,1,10325,0.094
2026-03-17,chr-05,158,7,86,71,1,9632,0.08
2026-03-18,chr-05,155,4,85,69,1,13829,0.053
2026-03-19,chr-05,157,4,86,70,1,12280,0.017
2026-03-20,chr-05,157,3,86,70,1,13318,0.065
2026-03-21,chr-05,158,2,86,71,1,12573,0.109
2026-03-23,chr-05,157,4,86,70,1,10239,0.108
2026-03-24,chr-05,166,5,91,74,1,12483,0.126
2026-03-25,chr-05,168,4,92,75,1,11799,0.065
2026-03-26,chr-05,156,6,85,70,1,13824,0.037
2026-03-27,chr-05,150,6,82,67,1,11586,0.065
2026-03-28,chr-05,167,5,91,75,1,10491,0.06
2026-03-30,chr-05,165,3,90,74,1,10517,0.08
2026-03-31,chr-05,159,6,87,71,1,11762,0.089
2026-04-01,chr-05,157,2,86,70,1,10941,0.093
2026-04-02,chr-05,154,5,84,69,1,13507,0.126
2026-04-03,chr-05,160,5,88,72,0,11585,0.064
2026-04-04,chr-05,154,4,84,69,1,12796,0.096
2026-04-06,chr-05,161,4,88,72,1,11130,0.102
2026-04-07,chr-05,156,3,85,70,1,14004,0.117
2026-04-08,chr-05,166,6,91,74,1,11954,0.057
2026-04-09,chr-05,149,4,81,67,1,10923,0.06
2026-04-10,chr-05,160,4,88,72,0,11091,0.129
2026-04-11,chr-05,155,5,85,69,1,13005,0.09
2026-04-13,chr-05,155,4,85,69,1,10948,0.045
2026-04-14,chr-05,158,6,86,71,1,13371,0.092
2026-04-15,chr-05,162,6,89,72,1,12484,0.126
2026-04-16,chr-05,156,7,85,70,1,12422,0.12
2026-04-17,chr-05,147,4,80,66,1,11051,0.093
2026-04-18,chr-05,166,3,91,74,1,12701,0.032
2026-04-20,chr-05,158,4,86,71,1,12182,0.118
2026-04-21,chr-05,157,4,86,70,1,9722,0.077
2026-04-22,chr-05,159,5,87,71,1,11045,0.057
2026-04-23,chr-05,157,5,86,70,1,11235,0.065
2026-04-24,chr-05,164,4,90,73,1,12430,0.112
2026-04-25,chr-05,153,5,84,68,1,12275,0.078
2026-04-27,chr-05,158,1,86,71,1,11724,0.031
2026-04-28,chr-05,155,6,85,69,1,10952,0.04
2026-04-29,chr-05,150,6,82,67,1,12105,0.129
2026-04-30,chr-05,148,3,81,66,1,12715,0.061
2026-05-01,chr-05,155,4,85,69,1,12490,0.094
2026-05-02,chr-05,159,3,87,71,1,12132,0.1
2026-05-04,chr-05,161,3,88,72,1,10719,0.111
2026-05-05,chr-05,161,2,88,72,1,13026,0.068
2026-05-06,chr-05,158,5,86,71,1,10371,0.109
2026-05-07,chr-05,164,4,90,73,1,11954,0.058
2026-05-08,chr-05,161,6,88,72,1,14120,0.103
2026-05-09,chr-05,153,5,84,68,1,13130,0.095
2026-05-11,chr-05,164,3,90,73,1,12115,0.028
2026-05-12,chr-05,163,4,89,73,1,12300,0.076
2026-05-13,chr-05,154,2,84,69,1,11587,0.068
2026-05-14,chr-05,163,2,89,73,1,12332,0.117
2026-05-15,chr-05,163,4,89,73,1,13340,0.098
2026-05-16,chr-05,167,6,91,75,1,12200,0.134
2026-05-18,chr-05,155,3,85,69,1,11165,0.077
